,User,Tweet
0,Sunnysweet16,Wonder why no academic or journalist asks INC India and Rahul Gandhi a simple question-what danger was there to the original constitution that they changed it more than 100 times in the course of 55 yrs they ruled? #LokSabhaElections2019
1,drnitinchaube,"Congrats for the change #australiavotes2019 and #ScottMorrison sir!

Is the same wind of change going to bring in #Congress or #UPA3Coming #LokSabhaElections2019 along with #Rahul @INCIndia @RahulGandhi @DickDarryl @rkhuria @kukk44 @MahilaCongress"
2,mrvivek07,"Peopel Say “Govt Ne 70 Years Kya kiya”.
Unse pucho “70 years Govt kaise Rahi.!??
#KaamBoltaHain..#IndianElections2019 #Congress #Bjp @INCIndia @BJP4India @Election2019NG @aajtak @NavbharatTimes @ZeeNews @timesofindia @htTweets @RahulGandhi"
3,JosephPravinP,"@ajaymaken @RahulGandhi And as a final touch, #Modi ji proved this world that not Rahul but he is the real #Pappu thereby making @RahulGandhi the perfect fit for the future!

Thank you Modi ji 😅
#BJP #Congress #RahulGandhi #Elections2019"
4,VandanaMegastar,#LokSabhaElections2019 Anyone not having mass backing can't be a visionary politician. Such netas are destined to work for lobbies. Difference between Rahul &amp; Modi is that Modi has a cow and Rahul doesn't have. Rahul can't hide behind a cow. He will deliver or will have to go....
5,RGspeak,@INCIndia should release a video of @RahulGandhi visiting Kedarnath shrine and that of Modi immediately.... it would be a study in contrast &amp; important for everyone to comprehend.... #KedarnathTemple #Kedarnath #RahulGandhi
6,SandipGhose,"@thakkar_sameet @BDUTT @surjitbhalla 4/n smacked of arrogance and entitlement. In turning it into a Modi Vs Rahul contest he undermined the entire Opposition campaign - making it a ""Aur Kaun Hain"" scenario. Opposition should squarely blame #RahulGandhi and #Congress for ruining their fighting chance. #Elections2019"
7,__Shivampandey,"Rahul Gandhi Spotted in Switzerland, 1 hour ago: Source #RahulGandhi is it true???
@divyaspandana"
8,usman_majid1,BJP will be nowhere in India after May 23. BJP will vanish after May 23.  @RahulGandhi #LokSabhaElections2019
9,pintoo2060,"#Punjab 
Bhatinda- cong-  Sad neck to neck 
Cong may win
Ferozepur -SAD
Faridkot- SAD- Cong.. neck to neck
Patiala- Cong edge
Gandhi giving challenge
Chandigarh-bjp
Fatehgarh sahib-cong 
#LoksabhaElections2019 2/2"
10,BapiM14,"@IYCTelangana @IncBasavakalyan @narendramodi @IYC @INCIndia @RahulGandhi @priyankagandhi @HardikPatel_ @Allavaru @keshavyadaviyc @srinivasiyc @srivatsayb @RakshaRamaiah @JM_Scindia This is called in #BJP language,
""A Swatch &amp; Swasth Hindutva"" !!! This theory not applicable to any other person, except #BJPians! 
Question: Demonic possession of !!!!"
11,eccentricraj,@ani_digital @ANI @rssurjewala IF #ECI #SunilArora IS ANOTHER #NAVEENCHAWLA BY NOW @RahulGandhi FOR HIS COMMENT #MODI ORDER TO FIRE TRIBAL  @SpokespersonECI WOULD HAD BANNED @RahulGandhi 72 HOURS AND @BJP4India WOULD HAD RUSHED #SC LOL #ECI NOT ACTED @RahulGandhi YET #Kedarnath #AMITSHAH #BJP
12,mayursejpal,"My Predictions

BJP+NDA = 300 to 310
Congress + UPA = 100 to 110
Mahagathbandhan = 100 to 110

Agree with me ?
@narendramodi @AmitShah
@BJP4India 
@RahulGandhi @priyankagandhi
@INCIndia
#Yeti
#KejriwalAssassinationClaim
#Kedarnath
#AshokLavasa
#IndiraGandhi
#LokSabhaElections2019"
13,nagarjund,"Siddaramaiah, Mallikarjun Kharge, Dinesh Gundu Rao, DK Shivakumar, G Parameshwar, head to Delhi to meet Rahul Gandhi. Future strategy in Karnataka will be discussed. #LokSabhaElections2019"
14,INC_KONARKKD,@RahulGandhi RG Next PM of india #LokSabhaElections2019
15,INC_KONARKKD,@RahulGandhi Great One #LokSabhaElections2019
16,dipaksamanta,"@RahulGandhi We should not speak about Nehru, Because he is your great grandfather, We shouldn't speak about Indira Gandhi because she is your grandmother,.
We shouldn't speak about Rajiv Gandhi because he is your father and 
#RahulGandhi"
17,KhoranaR,Whatever the outcome of #LokSabhaElections2019 Rahul has emerged as a strong leader and Congress cadre has been energised in all the states . An opportunity to build strong Congress cadre #INCIndia.
18,bhhatu,"@JhaSanjay nice pic @JhaSanjay ...
u totally rock in this pose..
youngsters should learn from u how to be a bondman for gandhi family..

#Kedarnath #LokSabhaElections2019 #Phase7 #NamoAgain #AyegaToModiHi #ModiAaneWalaHai"
19,pdquote,"#BJP's aircraft had been detected by #Congress led oppositions #RADAR n downed although weather was quite cloudy
#23rd_May_Modi_farewell_Day 
#AbHogaNYAY 
@RahulGandhi @rssurjewala @kanhaiyakumar @Shehla_Rashid @_YogendraYadav @prakashraaj @digvijaya_28 @ArvindKejriwal @INCIndia"
20,mrmishra2001,"@INCIndia @RahulGandhi Your party have done good work in opposition, NO SCAM was done by Modi Government in your opposition period.. Good luck for as a Opposition Party for now and forever PAPPU Bhai 😁😀😀#Raga #NARENDRAMODI"
21,madhusudan41,"@sanjaymarkets Throughout #LokSabhaElections2019 campaign, neither Rahul Gandhi nor the Congress even once projected the Congress president as prime ministerial candidate. The talk of Rahul as prime minister came from Tamil Nadu where DMK supremo MK Stalin"
22,madhusudan41,"@Jayesh_Chande Non-NDA regional parties will get  anchor  in form of Sonia like JP (1977) or VP Singh, Harkishan Singh Surjeet (1996, 2004) 2 bring egoist, temperamental regional satraps 2gether.Sonia can order Rahul 2 make sacrifices and accommodate regional parties.#LokSabhaElections2019"
23,madhusudan41,"As per a design, Sonia deliberately kept a low profile during alliance negotiations and #LokSabhaElections2019  campaign.She did not want to overshadow Rahul or veto his political instincts. But once results will out on 23rd .Sonia will act swiftly."
24,rjarpitaa,"To muster strategies, Sonia Gandhi has called a meeting of senior Congress leaders on May 22, a day ahead of counting of votes #LokSabhaElections2019. Possibility of roping in new non-NDA parties into the UPA coaltion to buttress opposition numbers may be discussed, sources said."
25,Sarcastic_SR,"The sense I get from people I talk to is that they are voting for #BJP not because they like what BJP has done in last 5 years.
It is more so because they don't want @RahulGandhi to become PM. I think #Congress needs to think about it for future. #election2019 1/2"
26,puranik_kaushik,Why are the political parties fighting about why Godse killed Gandhi and was it justified.....it's been 70 years since that incident just leave it and focus on the elections... #Elections2019 #BJP #Congress @RahulGandhi @narendramodi
27,umakantsingh_IN,"#MuteModi, it wrong, it  #Modi3.0 for 2024 as he lost 2019 already, for that meditation in Himalayas, but Rahul Gandhi just still on 0.9? #LokSabhaElections2019 #Kedarnath"
28,Utsav6589,"@RahulGandhi You don't worry Mr Gandhi, AAYEGA TO MODI HI....then he will give answer okay..!!

Delhi abhi dur he...Abki bar phir Modi sarkar...#LokSabhaElections2019 @narendramodi"
29,pkm1999,"@rupasubramanya @narendramodi @AmitShah @RahulGandhi This was not the PM but the caretaker PM..  It was a BJP press conference , it had no . of BJP Karyakartas  on the dais...  Obviously the BJP President was the Leader of the team .  #Narendramodi is just a Prime Ministerial candidate , not the PM in the  making.. #Elections2019"
30,KhushbooTweets,"""People like Pragya are not only killing his soul but are murdering non-violence, peace, tolerance and the soul of India. Gandhi is above all power and politics"", says @k_satyarthi.

#PragyaSinghThakur #PragyaThakur #LoksabhaElections2019"
31,johnmathew0308,"@RahulGandhi Yes, as BJP &amp; RSS portrays as the Defenders of Hindu Faith, What they have done for the common Hindu Devotees of this land, I forget all their promises of 2014 as a Citizen of this land but... 
You Fox 🦊 (#Kurukan) clothed as a sheep with Fake Promises #FoxModi #NarendraModi"
32,gurvirgureh,"@RahulGandhi Congress+  = 215+
BJP+      =  -150
Others    =  -180
#LokSabhaElections2019"
33,IkkMundaPunjabi,"""Congress has been an A-grade opposition party this election,' says Rahul Gandhi""  

We loved your role in 2014-19 and want to see @INCIndia again play A-grade opposition party from 2019-24

#LokSabhaElections2019
#AyegaTohModiHi
@BJP4India
#NaMoAgain2019"
34,kulkarni_vaish,"@Ibne_Sena #RahulGandhiLies
#RahulGandhi

Absolutely right ... 

Be a strong and principled opposition, Mr Rahul Gandhi..!!"
35,kritikasrawat25,"@RahulGandhi keep saying this nonsense that I have challenged @narendramodi for a debate&amp; he is scared to do it.Its good #modi is ignoring him,we have seen all kind of interviews of #RahulGandhi.He is that dumb kid who does everything to get attention of popular kid in school!"
36,sandipkale82,"Andhra Pradesh Chief Minister Chandrababu Naidu is scheduled to meet with Congress president Rahul Gandhi at 10 am today, ahead of meetings with Mayawati and Akhilesh Yadav tomorrow.@yadavakhilesh @ncbn @AndhraPradeshCM @RahulGandhi #naidu #RahulGandhi #RahulGandhi"
37,SharonFeb6,"@TarekFatah @RahulGandhi @narendramodi If BJP can monitor complete social media, tv channels, movie industry, YouTube videos, whatsapp, clouds, digital camera and much more. Big deal if he send some journalist? Sadly, no #BJP &amp; #congress wants to educated India."
38,ABHINAVsr,"Is Rahul Gandhi is real "" Pappu "" ?? Is he proved this in all his interview . #LokSabhaElections2019 #RahulGandhi #ModiInKedarnath #ApnaModiAayega #PhirEKBaarModiSarkaar"
39,UdayRajSinghBo1,"""My own view is that great men are of great service to their country, but they are also at certain times a great hindrance to the progress of the country. Mr Gandhi had become a positive danger to this country,""

said B.R Ambedkar

Copied-DNA

#Vote4Nation #LokSabhaElections2019"
40,PeacefulHind,"Prime Minister Shri #NarendraModi
Said he has not forgiven Pragya Singh Thakur by heart!

Obiovsly it's because love &amp; respect  towards Mahatma Gandhi !

Q. If love &amp; respect is so genuine definitely he should have removed her from fighting election!

#MuteModi PM Modi Telegraph"
41,DBhandari14,"@RahulGandhi Congratulations To u @RahulGandhi u tried to face something called as interview on ur own turf after 4 phases of elections !! Next time u won't be in politics..so far till now...u did ok ok!!

And yes importantly 

#AayegaTohModiHi @narendramodi #Modi #LokSabhaElections2019"
42,sqharshad,"Last phase of election will have greater impact on result, main factors
Ishwar chand vidyasagar
Godse
Pragya thakur
Mute press conference
ECI tantrums
Rahul Gandhi press interaction
Who is benefitting? 
#GeneralElections2019
#7thphaseloksabhapolls #LokSabhaElections2019"
43,niketaga,"No matter how much I support @narendramodi, in these campaign Congress was good and most importantly their manifesto is much better than #bjp the only thing goes against #Congress is top level leadership and Gandhi family"
44,chaloo_pandey,Next two days it’s only Modi-Modi on tv. No space for Rahul. What should Rahul do to counter this master strategist duo of Modi-Shah? Maybe get his Thailand visit telecast that may probably give more TRP to him but still no votes . #Kedarnath #Badrinath #NarendraModi
45,imshaurya1308,"Who is the best spokesperson of BJP/NDA?
#aajtak #republic #zeenews #jaayegatohmodihi @narendramodi @RahulGandhi #LokSabhaElections2019 #loksabha @AamAadmiParty @avsurya @dhruv_rathee @akashbanerjee #bjp #Congress #ModiObsession #ElectionsWithNDTV #ElectionCommissionOfIndia"
46,umakantsingh_IN,"@MamataOfficial @yadavakhilesh @Mayawati @ArvindKejriwal I hardly care what people in foreign country do ratings, but go through, before @TIME told I knew Modi #DividerInChief, Rahul #DividerNo.1 , so I went for uniting India, United India  govt of united parties govt..1/2 #LokSabhaElections2019 #Kedarnath #BuddhaPurnima Omar Khayyam"
47,nileshsingh33,@RahulGandhi It's not a BJP opinion it's all yours Pappu #NarendraModi #SadhviPragya
48,kumardurgesh262,"@RahulGandhi Sir, I pray to you as a #BigBrother and join #Hands with you that I want to leave the #BJP and come to #Congress.Please join us in your party, Sir #LokSabhaElection is near by 2019 and I also want to work hard with you in this election.I Request you.
@RahulGandhi Ji"
49,neerajbhushan,Countdown to #May23: Both Narendra Modi of #BJP and Rahul Gandhi of #Congress are upbeat about becoming the prime minister. What if there’s a dark horse quietly waiting to be sworn in after votes are declared after this #LokSabhaEelctions2019
50,NewsHtn,"Andhra Pradesh Chief Minister Chandrababu Naidu is slated to meet Congress president Rahul Gandhi, SP chief Akhilesh Yadav and BSP supremo Mayawati today  #LokSabhaElections2019"
51,Bhar10duSharma,"BJP's candidate from Kolkata Uttar, Rahul Sinha raises Burqa issue with EC. He alleged that TMC is sending male cadres wearing burqa to caste votes and central women forces should be deployed in such booths to check them.
#LokSabhaElections2019 #Bengal #Kolkata"
