link,text,date,No_of_likes,No_of_comments
https://twitter.com/Politics_2022_/status/1739255975717302352#m,"South India 2024 Loksabha Opinion Poll 132 seats (C-Voter) INDIA 78 BJP 22 OTH 32 INDIA is polling 40% votes in this survey while BJP is at 19%. They are overestimating the BJP as it can only win seats in either Karnataka or maybe in Telangana. Others include YSR, TDP, AIADMK & BRS with 41% votes.","Dec 25, 2023 · 12:05 PM UTC",324,27
https://twitter.com/LokmatTimes_ngp/status/1739269955919675902#m,"Veteran actor Nana Patekar says, ""There is no alternative to BJP. They will easily get 350-375+ seats in 2024 Lok Sabha elections due to their outstanding work."" @nanagpatekar #NanaPatekar #BJPGovernment #2024Elections","Dec 25, 2023 · 1:00 PM UTC",0,0
https://twitter.com/Politics_2022_/status/1739259977041367194#m,"South India BJP 2019 Loksabha Karnataka 25 Telangana 04 Andhra Pradesh 00 Tamil Nadu 00 Kerala 00 They have won 29 seats out of 130 seats, only Congress can drag them below 15 as the rest of the states are irrelevant for BJP apart from KA & TG. Anything above 20 will be an achievement for BJP and they won't complain about that.","Dec 25, 2023 · 12:21 PM UTC",142,18
https://twitter.com/rohanayak/status/1739269942212714747#m,Issh baar 357 seats in Loksabha election.,"Dec 25, 2023 · 1:00 PM UTC",0,0
https://twitter.com/BellamSwathi/status/1739199260376347049#m,"Total number of times MMS won his own lok sabha seat - ZERO Hence He was just a ramu kaka of Gandys Modi has not lost an election, has won two general elections with highest number of MPs in last 40 years and has highest approval ratings amongst all the world leaders Hence he is the strongest PM","Dec 25, 2023 · 8:19 AM UTC",589,80
https://twitter.com/sreeramjvc/status/1739224487462367246#m,Let’s deliver Tenkasi Lok Sabha seat to strengthen the hands of Honourable @PMOIndia Shri. @narendramodi Let Tenkasi transform like Kasi (Varanasi). Man on a Mission Shri. @annamalai_k,"Dec 25, 2023 · 10:00 AM UTC",307,5
https://twitter.com/SurrbhiM/status/1739200950135341166#m,"""NDA alliance will break before the Lok Sabha) elections..."" . - DK Shivkumar 🔥","Dec 25, 2023 · 8:26 AM UTC",698,84
https://twitter.com/Politics_2022_/status/1739206142679777427#m,"I am not unhappy or upset with anyone, my party stands with the INDIA alliance and we will fight 2024 Loksabha together. We strongly believe our alliance will stay & everyone will help defeating BJP. -Nitish Kumar refuses all the rumors of jumping out 👍","Dec 25, 2023 · 8:47 AM UTC",882,49
https://twitter.com/MeghUpdates/status/1739212995975430360#m,No Alternative to BJP. They will easily get 350-375+ seats in 2024 Lok Sabha elections due to their outstanding work. -Vetran Actor Nana Patekar 📹 credits - Zee business,"Dec 25, 2023 · 9:14 AM UTC",4950,43
https://twitter.com/Jairam_Ramesh/status/1738963966725124178#m,"The BJP MP from Mysuru, Pratap Simha, says that his voters will decide whether he is a patriot or not when the Lok Sabha polls will be held. But the question he’s running away from is very simple. Why and how did he facilitate entry of two youth who caused a huge security breach in the Lok Sabha on December 13th? Isn’t this a serious matter that needs investigation and explanation? These youth have after all been booked under UAPA. Mr. Simha and the BJP are diverting attention from this main issue. The signal being given to the nation by the Prime Minister and the Home Minister is that BJP and anyone associated with the party is above all accountability.","Dec 24, 2023 · 4:44 PM UTC",2755,209
https://twitter.com/ANI/status/1739160646699417673#m,"#WATCH | Delhi: Prime Minister Narendra Modi, Lok Sabha Speaker Om Birla, Rajya Sabha Deputy Chairman Harivansh, Defence Minister Rajnath Singh, BJP national president JP Nadda and other leaders pay tribute to Pandit Madan Mohan Malaviya at Central Hall in the Parliament, on his birth anniversary.","Dec 25, 2023 · 5:46 AM UTC",2299,13
https://twitter.com/Paul_Koshy/status/1739195553559589321#m,"Thank you very much dear #RajeevGowda Sir for visiting us at our home today. Christmas this year has become very special. @rajeevgowda will be our new Lok Sabha MP from Bangalore North constituency (I live here). Sir is the Vice Chairman, Planning Commission, Govt of Karnataka. Professor is also the National Spokesperson and Chairman, AICC Research Department, Ex MP- Rajyasabha, Ex Director RBI and Ex Professor IIM Bangalore.","Dec 25, 2023 · 8:05 AM UTC",324,54
https://twitter.com/PTI_News/status/1739173901358243913#m,"VIDEO | “When a Speaker of the Lok Sabha is elected, he should not act as a member of a political party. Constitutionally, he should be bipartisan because when he is sitting on that chair, he represents the House and the will of the House,” says Rajya Sabha MP @KapilSibal in response to a media query on suspension of MPs from Lok Sabha and Rajya Sabha.","Dec 25, 2023 · 6:39 AM UTC",1089,9
https://twitter.com/PTI_News/status/1739181802969878749#m,"VIDEO | “If you don’t want opposition at all there, which I think is the intent of this government, you might as well suspend everybody. You might as well suspend me for talking to the press,” says Rajya Sabha MP @KapilSibal on suspension of MPs from Lok Sabha and Rajya Sabha.","Dec 25, 2023 · 7:10 AM UTC",270,6
https://twitter.com/MeghUpdates/status/1739146069379076602#m,When your effort to make upcoming Lok Sabha elections a Hindu-Muslim issue fails ! Must watch,"Dec 25, 2023 · 4:48 AM UTC",2142,23
https://twitter.com/RealBababanaras/status/1739255757814792574#m,Actor Nana Patekar's prediction on upcoming Lok Sabha Elections is a shocker for those who are predicting 300 seats for BJP.,"Dec 25, 2023 · 12:04 PM UTC",115,4
https://twitter.com/Loksabhael52086/status/1739269581200650486#m,Lol..no difficulty in Karnataka..Maharashtra is also smooth sailing..,"Dec 25, 2023 · 12:59 PM UTC",0,0
https://twitter.com/DrBCPatil3/status/1739269565585256758#m,"Today, 5.00 pm Warm Room programme on @publictvnews was too good. Congrats to anchor Mr Arun Badiger. With Loksabha elections around, cover lot of issues like this, but not the full day on Carona as mutated virus is getting weaker- though spreads but does not cause severe disease","Dec 25, 2023 · 12:59 PM UTC",0,0
https://twitter.com/AshishSinghKiJi/status/1739203177256464551#m,NDA alliance will break before Lok Sabha elections - Deputy Chief Minister Dk Shivakumar,"Dec 25, 2023 · 8:35 AM UTC",850,10
https://twitter.com/GeT_RiGhT_A1/status/1739260537504964948#m,"Below is the Times now ETG survey conducted before the announcement of the alliance if all parties contest individually. Times group is YCP-favored but a big takeaway from this JSP has doubled its vote share in Lok Sabha. If you interpolate to assembly, it will be 12% - 14%.","Dec 25, 2023 · 12:23 PM UTC",29,2
https://twitter.com/NewsArenaIndia/status/1739216441499639829#m,Nana Patekar : “There is no alternative to the BJP in 2024 Lok Sabha elections. They will come back to power with 350 seats.”,"Dec 25, 2023 · 9:28 AM UTC",2675,14
https://twitter.com/PTI_News/status/1739269361427460446#m,"VIDEO | Lok Sabha Speaker Om Birla, Union Minister Rajnath Singh and yoga guru Baba Ramdev attended Divine Spiritual Festival in Haridwar.","Dec 25, 2023 · 12:58 PM UTC",10,0
https://twitter.com/Pappuch52Bjp/status/1739269348630663463#m,"#NayaJammuKashmir Many people living in Kashmir for decades could cast their vote in Lok Sabha polls, but not in J&K’s assembly & local polls. They are the ones who came to India post Partition. Should we have allowed such injustice to exist? via NaMo App","Dec 25, 2023 · 12:58 PM UTC",0,0
https://twitter.com/abpmajhatv/status/1739269327948550576#m,लोकसभेच्या 132 जागा असलेल्या दक्षिण भारतात भाजप मुसंडी मारणार? एबीपी-सी व्होटर सर्वेचा अंदाज काय? https://marathi.abplive.com/news/india/abp-c-voter-survey-lok-sabha-election-2024-south-india-132-lok-sabha-seats-how-much-bjp-nda-will-won-seats-abpp-1240919 #ABPCVoter #LokSabhaElection #LoksabhaElection2024 #Elections2024 #LokSabha #INDIAAlliance #NDA #SouthIndia,"Dec 25, 2023 · 12:58 PM UTC",0,0
https://twitter.com/PTI_News/status/1739184917462851854#m,"VIDEO | ""In democracy, it is the people who decide the government and the opposition. However, we cannot imagine a Parliament where there is no opposition,"" says RJD MP @manojkjhadu on suspension of MPs from Lok Sabha and Rajya Sabha.","Dec 25, 2023 · 7:22 AM UTC",163,7
https://twitter.com/rak4254/status/1739269291139104927#m,Before Lok sabha elections,"Dec 25, 2023 · 12:58 PM UTC",0,0
https://twitter.com/AshishSinghKiJi/status/1739210105093243340#m,Lok sabha INDIA - 28 NDA - 20 Assembly elections MVA Aillance wins 2024 !,"Dec 25, 2023 · 9:02 AM UTC",100,2
https://twitter.com/Politics_2022_/status/1739222092787429798#m,"Not INDIA, but NDA will break down before 2024 Loksabha. -DK Shivakumar hits back at ANI journalist 🔥","Dec 25, 2023 · 9:50 AM UTC",1279,39
https://twitter.com/Politics_2022_/status/1738988268870574423#m,"Deepender Hooda has started the preparations for both Loksabha & Vidhansabha 2024 Haryana elections. Keep an eye on him, one of the finest leaders who will be around the center stage for a long time to come.🔥 Today he pulled lakhs of people to give tributes to 750 farmers who lost their lives because of Farm laws by BJP.","Dec 24, 2023 · 6:21 PM UTC",2088,28
https://twitter.com/Pijush_hazarika/status/1739200702092566748#m,"In Assam Senior Cong leaders are only wanting to contest Lok Sabha Seats where there is significant minority voters. In constituencies where majority Santani voters are there , they are afraid to contest.","Dec 25, 2023 · 8:25 AM UTC",86,8
https://twitter.com/IndiaToday/status/1737759753462521968#m,Contentious CEC Bill passed in Lok Sabha. @nalinisharma_ with more details. #News #LokSabha @nabilajamal_,"Dec 21, 2023 · 8:59 AM UTC",7,1
https://twitter.com/Politics_2022_/status/1738931918346072068#m,"Bihar Loksabha 2024 Opinion Poll (C-Voter) INDIA 23 (43%) NDA 16 (39%) OTH 01 (18%) BJP is getting a dent of 4 seats considering their alliance holds their Loksabha. Maharashtra, WB, Bihar, Telangana all states showing trends of BJP losing few seats. It is all up to the campaign & seat sharing of INDIA in these states to shape up the 2024.","Dec 24, 2023 · 2:37 PM UTC",1279,165
https://twitter.com/Official_Nirav_/status/1739232243082506508#m,Aam Aadmi Party National Organization General Secretary and Gujarat In-charge @SandeepPathak04 will visit Gujarat tomorrow on 26/12/2023 as part of preparations for the upcoming Lok Sabha elections.,"Dec 25, 2023 · 10:30 AM UTC",26,0
https://twitter.com/shivam__4528/status/1739268205993132290#m,Loksabha ke bhi declare ho jane chaiye,"Dec 25, 2023 · 12:53 PM UTC",0,0
https://twitter.com/navneetic/status/1738758888185647371#m,@ICMAICMA @theicai @icsi_cs #bjp4india #icmai @loksabhatv @PMOIndia @FinMinIndia @IncomeTaxIndia @MCA21India @MIB_India @minmsme Gratitude to Lok Sabha Speaker Sh Om Birla ji for attending the NIRC CMA Student Convention and emphasizing the vital role of CMA in nation-building.,"Dec 24, 2023 · 3:09 AM UTC",27,0
https://twitter.com/SVishnuReddy/status/1739267837431332988#m,Warm birthday greetings to the Loksabha MP Shri @manoj_kotak Ji. I pray for your good health and long life.,"Dec 25, 2023 · 12:52 PM UTC",3,0
https://twitter.com/anilkumar4bihar/status/1739129398845190266#m,"संविधान एवं अधिकार के रक्षा हेतु संविधान हितैषी पार्टी का चयन करना होगा और आप जानते हैं देश में दलितों, पिछड़ो, उपेक्षितों, आदिवासी एवं महिलाओं के अधिकार की बात आपकी अपनी पार्टी में संभव है। 1/2 #Mayavati #Sanvidhan #Ambedkar #Loksabha #Bahujansamajparty #Bahujansamaj #AnilKumar","Dec 25, 2023 · 3:42 AM UTC",150,2
https://twitter.com/dhrubachoudhur5/status/1739232459282079998#m,"“When a Speaker of the Lok Sabha is elected, he should not act as a member of a political party. Constitutionally, he should be bipartisan because when he is sitting on that chair, he represents the House and the will of the House,” says Rajya Sabha MP @KapilSibal","Dec 25, 2023 · 10:31 AM UTC",15,0
https://twitter.com/BORN4WIN/status/1466639523543064579#m,#Daily1State #Goa • Capital-Panaji • Established-30.5.1987 • Area rank-28 • Population rank-26 • Density-390/km2 • Literacy-88.70% • Language-Konkani • Legislature-Unicameral (40seats) • Parliamentary constituency - Rajya Sabha 1 - Lok Sabha 2 • Sex Ratio-973♀/1000♂,"Dec 3, 2021 · 5:24 AM UTC",111,0
https://twitter.com/GudduKasana/status/1739267642161074447#m,Not loksabha... Vidhansabha,"Dec 25, 2023 · 12:51 PM UTC",0,0
https://twitter.com/kannadiga_bs/status/1739267636985274678#m,"Yatnal had talks with Kharge , will be joining congress and contesting for Loksabha . What a big boost to congress 🔥😂","Dec 25, 2023 · 12:51 PM UTC",0,0
https://twitter.com/themangoindian/status/1739267346454516182#m,Pollsters predicting Loksabha numbers before 22nd Jan 2024 are guilty of engagement farming from the cuckoo's land 🥲,"Dec 25, 2023 · 12:50 PM UTC",17,2
https://twitter.com/BORN4WIN/status/1466306082599432196#m,"#Daily1State #Chhattisgarh • Capital - Raipur • Formation - 1-11-2000 • Area rank - 9 • Population rank - 17 • Density - 220/km2 • Literacy - 71.04% • Language- Hindi, Chhattisgarhi • Constituencies - Rajya Sabha (5seats) - Lok Sabha (11seats) • Legislature- Unicameral","Dec 2, 2021 · 7:19 AM UTC",121,5
https://twitter.com/BORN4WIN/status/1471116287140982787#m,#Daily1State #Manipur • Capital : Imphal • Area rank : 23rd • Population rank : 23rd • Language : Manipuri • Governor : La. Ganesan • Chief Minister : N. Biren Singh • Legislature : Unicameral (60 seats) • Parliamentary constituency - Rajya Sabha (1) - Lok Sabha (2),"Dec 15, 2021 · 1:53 PM UTC",120,1
https://twitter.com/ndtv/status/1739216675571147013#m,No Alternative To PM Modi In 2024 Lok Sabha Polls: Ajit Pawar https://www.ndtv.com/india-news/no-alternative-to-pm-narendra-modi-in-2024-lok-sabha-polls-ajit-pawar-4738366,"Dec 25, 2023 · 9:29 AM UTC",29,4
https://twitter.com/PTI_News/status/1739185521421697024#m,"VIDEO | “Recently in a meeting, I said that the seat-sharing formula for every state should be decided at the earliest so that we can fight elections together. I have no issues with it,” says Bihar CM @NitishKumar INDIA alliance's seat-sharing formula for 2024 Lok Sabha elections.","Dec 25, 2023 · 7:25 AM UTC",309,2
https://twitter.com/BORN4WIN/status/1470317555961139202#m,#Daily1State #MadhyaPradesh • Capital-Bhopal • Formation-1-11-1956 • Language-Hindi • Area rank-2nd • Population rank-5th • Literacy-70.6% • Sex ratio-931/1000 • Legislature Unicameral (230 seats) • Parliamentary constituency Lok Sabha (29seats) Rajya Sabha (11 seats),"Dec 13, 2021 · 8:59 AM UTC",97,3
https://twitter.com/ANI/status/1739210274597728667#m,"#WATCH | Congress General Secretary in-charge Communications, Jairam Ramesh says, ""...There will be a mega rally in Nagpur on 28th December with the name 'Hai Tayyar Hum'. Congress will blow the conch for the Lok Sabha elections 2024 during the rally. Party president Mallikarjun Kharge and MP Rahul Gandhi clearly stated that we are ready for seat sharing and want the INDIA alliance to be united and strong. Congress will do everything possible to win...""","Dec 25, 2023 · 9:03 AM UTC",319,24
https://twitter.com/DharmaRamSara17/status/1739267002194428361#m,Bhai sahab loksabha chunav ko dekhte hue,"Dec 25, 2023 · 12:49 PM UTC",0,0
https://twitter.com/LillyMaryPinto/status/1739266948645695559#m,I think more votes are added to BJP & more seats to Lok Sabha from Kerala. 1st wish is ruined No communal violence after 2014 2nd wish is lost Many opposition leaders are convicted 3rd wish too will be unfulfilled. Consult a Psychiatrist to stay healthy.,"Dec 25, 2023 · 12:48 PM UTC",0,0
https://twitter.com/abpmajhatv/status/1739266891091439991#m,"सर्व्हे काहीही असो, देशात फक्त मोदींचीच हवा, आम्ही 40 च्या वर जाणार म्हणजे जाणारच; देवेंद्र फडणवीसांचा विश्वास https://marathi.abplive.com/news/maharashtra/devendra-fadanvis-on-lok-sabha-election-2024-opinion-poll-abp-c-voter-survey-maharashtra-1240915 #LokSabha #Election #ABPCvotersurvey #OpinionPoll #DevendraFadanvis","Dec 25, 2023 · 12:48 PM UTC",4,1
https://twitter.com/GargiRawat/status/1739145718718452024#m,A total of 264 questions raised by suspended Opposition MPs were deleted from the list of queries in both the Lok Sabha and the Rajya Sabha in three days during the recently-concluded winter session of Parliament. This was due to the suspension of 146 MPs https://www.hindustantimes.com/india-news/264-questions-raised-by-suspended-opposition-mps-deleted-from-records-101703272812489.html,"Dec 25, 2023 · 4:47 AM UTC",29,2
https://twitter.com/NiranKadam/status/1739266723969413498#m,Lok sabha elections vargu madro.. nange gothu nivu appithappinu Shivaji Nagar Frazer Town DJ Halli kade ಕನ್ನಡ antha usiru ethalla antha,"Dec 25, 2023 · 12:47 PM UTC",0,0
https://twitter.com/MirYanaSY/status/1737876320724701220#m,Congress is IMPOSSIBLE TO DEAL WITH!!! They have no idea what it means to have a dignified debate. Watch for yourself. Their lame objections against today's big CRPC and IPC bills passed in #LokSabha and #RajyaSabha .... https://invidious.perennialte.ch/live/TR5_Olhu-Vo?si=RIcUqY234hvsFgDo,"Dec 21, 2023 · 4:42 PM UTC",160,11
https://twitter.com/loksabha_badaun/status/1739266586748559528#m,आज दीननगर शेख़पुर में “संविधान बचाओ कार्यक्रम” में ...,"Dec 25, 2023 · 12:47 PM UTC",11,0
https://twitter.com/poetvardhan/status/1738933219633029370#m,ABP- C Voter Opinion Poll Loksabha Elections ; Bihar (40 Seats) * NDA - 16-18 Seats * INDIA - 21-23 Seats * Oth -0-2 Seats It's looking that NDA is going to face a huge loss in Bihar while opposition is doing very good.,"Dec 24, 2023 · 2:42 PM UTC",395,25
https://twitter.com/AshishSinghKiJi/status/1738913864916648078#m,Please don't alliance with AAP party in Punjab! Congress winning 7-8 seats Lok sabha without ally with AAP! AAP suitation very bad in Punjab! People very angry with AAP party! That by AAP want alliance with Congress in Punjab became Own benifit!,"Dec 24, 2023 · 1:25 PM UTC",304,6
